Date,Open,High,Low,Close
2019-01-02 21:30:00,128.86,136.2,128.56,135.7
2019-01-02 23:30:00,135.65,137.07,134.75,136.91
2019-01-03 01:30:00,136.89,137.5,135.38,135.56
2019-01-03 03:30:00,135.5,135.87,134.86,135.67
2019-01-03 21:30:00,134.77,137.17,132.48,133.11
2019-01-03 23:30:00,133.17,134.01,132.3,132.66
2019-01-04 01:30:00,132.59,133.07,131.13,131.42
2019-01-04 03:30:00,131.36,132.07,131.28,132.05
2019-01-04 21:30:00,134.01,137.44,133.8,137.36
2019-01-04 23:30:00,137.18,137.67,136.905,137.28
2019-01-05 01:30:00,137.3,137.82,136.55,137.06
2019-01-05 03:30:00,137.0,138.0,136.94,137.9
2019-01-07 21:30:00,137.51,138.0,135.94,136.0
2019-01-07 23:30:00,136.02,138.71,136.01,138.16
2019-01-08 01:30:00,138.1,138.84,137.93,138.36
2019-01-08 03:30:00,138.33,138.44,137.68,137.89
2019-01-08 21:30:00,139.94,142.82,139.57,141.6
2019-01-08 23:30:00,141.41,143.09,141.32,142.3
2019-01-09 01:30:00,142.29,142.59,141.65,142.26
2019-01-09 03:30:00,142.29,142.69,142.05,142.58
2019-01-09 21:30:00,142.94,143.85,141.34,143.32
2019-01-09 23:30:00,143.25,144.68,142.8,144.4
2019-01-10 01:30:00,144.31,144.52,142.75,143.89
2019-01-10 03:30:00,143.95,144.37,143.67,144.23
2019-01-10 21:30:00,143.09,143.26,140.84,142.97
2019-01-10 23:30:00,143.02,144.5,142.53,143.32
2019-01-11 01:30:00,143.34,144.5,142.57,144.39
2019-01-11 03:30:00,144.4,144.56,144.11,144.22
2019-01-11 21:30:00,143.15,143.83,142.6,143.04
2019-01-11 23:30:00,143.0,145.33,142.96,144.32
2019-01-12 01:30:00,144.35,144.4,143.39,143.54
2019-01-12 03:30:00,143.54,143.93,143.54,143.74
2019-01-14 21:30:00,141.74,144.34,141.27,144.11
2019-01-14 23:30:00,144.1,145.28,143.63,145.05
2019-01-15 01:30:00,145.04,146.56,145.04,146.07
2019-01-15 03:30:00,146.08,146.41,145.39,145.39
2019-01-15 21:30:00,146.01,150.66,146.0,149.01
2019-01-15 23:30:00,149.0,150.37,148.64,149.91
2019-01-16 01:30:00,149.98,150.01,147.82,148.31
2019-01-16 03:30:00,148.31,149.08,148.25,148.93
2019-01-16 21:30:00,149.0,149.63,147.0,147.34
2019-01-16 23:30:00,147.35,148.18,147.0,147.78
2019-01-17 01:30:00,147.81,148.11,147.55,147.96
2019-01-17 03:30:00,147.99,148.03,147.41,147.48
2019-01-17 21:30:00,146.96,149.0,146.5,148.81
2019-01-17 23:30:00,148.76,148.96,147.89,147.93
2019-01-18 01:30:00,147.89,148.51,147.0,147.96
2019-01-18 03:30:00,147.96,148.31,147.77,148.31
2019-01-18 21:30:00,149.75,152.41,148.84,151.86
2019-01-18 23:30:00,151.87,152.23,150.54,150.69
2019-01-19 01:30:00,150.65,150.95,148.58,149.32
2019-01-19 03:30:00,149.38,150.08,149.3,150.01
2019-01-22 21:30:00,149.2,151.52,148.99,149.85
