Date,Open,High,Low,Close
2014-01-02 21:30:00,54.83,55.21,54.2,54.36
2014-01-03 01:30:00,54.36,54.84,54.32,54.72
2014-01-03 21:30:00,55.02,55.65,54.61,54.92
2014-01-04 01:30:00,54.91,54.91,54.53,54.56
2014-01-06 21:30:00,54.42,56.47,54.06,56.33
2014-01-07 01:30:00,56.33,57.255,56.15,57.18
2014-01-07 21:30:00,57.67,58.55,57.24,57.83
2014-01-08 01:30:00,57.83,58.17,57.66,57.92
2014-01-08 21:30:00,57.6,58.39,57.23,57.82
2014-01-09 01:30:00,57.82,58.405,57.7,58.24
2014-01-09 21:30:00,58.65,58.95,57.54,57.6
2014-01-10 01:30:00,57.61,57.69,56.68,57.21
2014-01-10 21:30:00,57.11,58.29,57.08,57.84
2014-01-11 01:30:00,57.85,58.045,57.71,57.93
2014-01-13 21:30:00,57.91,58.25,57.01,57.18
2014-01-14 01:30:00,57.18,57.27,55.38,55.92
2014-01-14 21:30:00,56.46,57.46,56.11,57.415
2014-01-15 01:30:00,57.41,57.78,57.14,57.73
2014-01-15 21:30:00,57.98,58.57,57.28,57.59
2014-01-16 01:30:00,57.58,57.825,57.44,57.59
2014-01-16 21:30:00,57.29,58.02,56.83,57.76
2014-01-17 01:30:00,57.75,57.79,57.09,57.18
2014-01-17 21:30:00,57.26,57.8,56.58,56.63
2014-01-18 01:30:00,56.63,56.86,56.07,56.25
2014-01-21 21:30:00,56.6,58.08,56.5,57.93
2014-01-22 01:30:00,57.93,58.575,57.77,58.51
2014-01-22 21:30:00,58.84,59.3,57.14,57.84
2014-01-23 01:30:00,57.9,57.92,57.1,57.51
2014-01-23 21:30:00,56.4,56.68,55.71,56.22
2014-01-24 01:30:00,56.21,56.64,55.965,56.64
2014-01-24 21:30:00,56.15,56.41,54.635,54.89
2014-01-25 01:30:00,54.9,55.02,54.405,54.44
2014-01-27 21:30:00,54.73,54.94,51.86,52.85
2014-01-28 01:30:00,52.85,54.145,52.76,53.56
2014-01-28 21:30:00,54.02,55.28,54.01,54.84
2014-01-29 01:30:00,54.84,55.19,54.56,55.17
2014-01-29 21:30:00,54.61,54.95,53.38,54.155
2014-01-30 01:30:00,54.155,54.31,53.19,53.5
2014-01-30 21:30:00,62.12,62.49,60.46,61.36
2014-01-31 01:30:00,61.37,61.86,60.89,61.04
2014-01-31 21:30:00,60.39,62.36,60.17,62.205
2014-02-01 01:30:00,62.2,63.37,62.195,62.57
2014-02-03 21:30:00,63.03,63.75,61.27,61.41
2014-02-04 01:30:00,61.42,61.975,60.71,61.48
2014-02-04 21:30:00,62.055,63.14,61.825,62.945
2014-02-05 01:30:00,62.94,63.0,62.37,62.75
2014-02-05 21:30:00,62.74,63.15,61.28,62.5
2014-02-06 01:30:00,62.52,62.68,62.065,62.19
2014-02-06 21:30:00,61.52,62.77,61.51,62.18
2014-02-07 01:30:00,62.185,62.51,61.95,62.14
2014-02-07 21:30:00,62.27,64.56,62.23,64.42
2014-02-08 01:30:00,64.42,64.42,63.83,64.31
2014-02-10 21:30:00,64.29,64.49,63.7,63.82
2014-02-11 01:30:00,63.82,63.85,63.48,63.56
2014-02-11 21:30:00,63.75,64.22,63.355,64.21
2014-02-12 01:30:00,64.21,65.0,64.07,64.84
2014-02-12 21:30:00,64.92,65.06,64.21,64.89
2014-02-13 01:30:00,64.9,64.93,64.08,64.45
