Date,Open,High,Low,Close
2024-07-15 20:30:00,498.9,500.43,495.65,499.55
2024-07-15 20:35:00,499.5,499.51,494.73,498.51
2024-07-15 20:40:00,498.42,499.71,496.8,496.8
2024-07-15 20:45:00,496.88,498.35,495.0,497.48
2024-07-15 20:50:00,497.58,498.74,496.16,498.54
2024-07-15 20:55:00,498.54,499.91,498.2,499.31
2024-07-15 21:00:00,499.45,500.66,499.42,500.54
2024-07-15 21:05:00,500.58,501.75,500.2,501.43
2024-07-15 21:10:00,501.385,501.41,500.26,500.58
2024-07-15 21:15:00,500.59,500.59,498.65,499.49
2024-07-15 21:20:00,499.58,501.52,499.24,501.52
2024-07-15 21:25:00,501.39,503.05,501.12,502.66
2024-07-15 21:30:00,502.68,503.69,502.68,503.39
2024-07-15 21:35:00,503.38,503.59,502.12,502.12
2024-07-15 21:40:00,502.16,503.69,501.87,503.55
2024-07-15 21:45:00,503.5,504.7,503.49,504.65
2024-07-15 21:50:00,504.62,505.2,504.18,504.31
2024-07-15 21:55:00,504.35,504.54,503.7,504.08
2024-07-15 22:00:00,504.12,505.3,503.68,504.7
2024-07-15 22:05:00,504.7,505.0,504.03,504.14
2024-07-15 22:10:00,504.24,505.15,504.24,504.68
2024-07-15 22:15:00,504.58,505.68,504.29,505.22
2024-07-15 22:20:00,505.24,506.66,505.24,505.825
2024-07-15 22:25:00,505.825,505.825,503.0,503.13
2024-07-15 22:30:00,503.16,503.4,501.89,502.1
2024-07-15 22:35:00,502.07,502.17,501.45,502.17
2024-07-15 22:40:00,502.16,502.22,500.74,500.96
2024-07-15 22:45:00,501.02,501.03,499.63,500.65
2024-07-15 22:50:00,500.635,500.85,499.97,500.5
2024-07-15 22:55:00,500.54,501.655,500.45,501.38
2024-07-15 23:00:00,501.34,501.6,500.8,501.02
2024-07-15 23:05:00,501.06,501.07,498.96,499.07
2024-07-15 23:10:00,499.3,499.49,498.75,499.08
2024-07-15 23:15:00,499.03,499.49,498.34,498.75
2024-07-15 23:20:00,498.59,500.47,498.17,500.25
2024-07-15 23:25:00,500.26,501.35,500.11,501.35
2024-07-15 23:30:00,501.28,501.92,501.24,501.68
2024-07-15 23:35:00,501.75,502.28,501.4,501.59
2024-07-15 23:40:00,501.65,502.25,500.99,501.28
2024-07-15 23:45:00,501.3,501.38,500.5,501.07
2024-07-15 23:50:00,501.17,501.64,501.17,501.57
