Date,Open,High,Low,Close
2024-08-26 20:30:00,527.6,528.2,524.0,525.36
2024-08-26 20:33:00,525.57,527.27,525.41,526.06
2024-08-26 20:36:00,525.95,526.26,524.35,524.35
2024-08-26 20:39:00,524.5,525.16,520.26,521.4
2024-08-26 20:42:00,521.34,521.77,520.64,521.56
2024-08-26 20:45:00,521.61,521.66,519.68,520.8
2024-08-26 20:48:00,520.73,522.4,520.35,521.44
2024-08-26 20:51:00,521.3,522.24,521.0,522.22
2024-08-26 20:54:00,522.12,522.48,521.2,521.72
2024-08-26 20:57:00,521.78,522.6,521.71,522.33
2024-08-26 21:00:00,522.3,522.5,521.1,521.32
2024-08-26 21:03:00,521.5,521.84,520.75,521.18
2024-08-26 21:06:00,521.09,521.09,518.78,519.26
2024-08-26 21:09:00,519.21,519.39,517.99,518.9
2024-08-26 21:12:00,518.88,519.39,518.7,518.99
2024-08-26 21:15:00,518.88,518.88,517.6,518.2
2024-08-26 21:18:00,518.26,518.75,517.69,518.74
2024-08-26 21:21:00,518.65,518.95,518.28,518.71
2024-08-26 21:24:00,518.71,518.8,517.95,518.64
2024-08-26 21:27:00,518.65,518.65,517.19,517.26
2024-08-26 21:30:00,517.26,517.94,515.8,516.0
2024-08-26 21:33:00,516.0,516.44,515.66,516.09
2024-08-26 21:36:00,516.16,516.51,514.98,515.37
2024-08-26 21:39:00,515.46,516.49,514.97,516.1
2024-08-26 21:42:00,516.22,516.48,515.54,515.57
2024-08-26 21:45:00,515.57,516.88,515.52,516.79
2024-08-26 21:48:00,516.82,517.05,516.34,516.55
2024-08-26 21:51:00,516.69,517.21,516.61,517.15
2024-08-26 21:54:00,517.11,518.73,517.11,518.61
2024-08-26 21:57:00,518.51,520.45,518.51,520.07
2024-08-26 22:00:00,520.18,520.32,519.7,520.04
2024-08-26 22:03:00,520.0,520.18,518.68,518.82
2024-08-26 22:06:00,518.99,519.6,518.79,519.42
2024-08-26 22:09:00,519.47,519.97,519.34,519.54
2024-08-26 22:12:00,519.51,520.31,519.51,520.0
2024-08-26 22:15:00,520.05,520.06,519.44,519.47
2024-08-26 22:18:00,519.64,521.0,519.58,520.85
2024-08-26 22:21:00,520.93,522.1,520.53,521.94
2024-08-26 22:24:00,521.83,522.05,520.92,520.92
2024-08-26 22:27:00,520.97,520.97,520.43,520.56
2024-08-26 22:30:00,520.5,520.68,520.19,520.5
2024-08-26 22:33:00,520.58,520.82,520.37,520.5
2024-08-26 22:36:00,520.46,520.89,520.24,520.8
2024-08-26 22:39:00,520.69,521.11,520.33,521.11
2024-08-26 22:42:00,521.2,521.42,520.92,520.99
2024-08-26 22:45:00,520.89,521.03,520.42,520.62
2024-08-26 22:48:00,520.79,521.53,520.79,521.0
2024-08-26 22:51:00,520.95,520.95,519.97,520.23
2024-08-26 22:54:00,520.11,520.38,519.78,520.2
2024-08-26 22:57:00,520.08,520.27,519.43,520.04
2024-08-26 23:00:00,519.95,520.03,519.51,519.99
2024-08-26 23:03:00,519.89,520.18,519.75,519.75
