Date,Open,High,Low,Close
2024-01-02 21:30:00,351.7,353.15,346.79,346.99
2024-01-02 21:45:00,347.0,347.05,342.52,344.45
2024-01-02 22:00:00,344.4,345.57,344.23,344.29
2024-01-02 22:15:00,344.24,344.5,341.5,341.54
2024-01-02 22:30:00,341.52,342.2,341.05,342.06
2024-01-02 22:45:00,342.12,342.19,340.01,340.69
2024-01-02 23:00:00,340.68,343.28,340.68,343.06
2024-01-02 23:15:00,343.03,344.22,342.8,344.12
2024-01-02 23:30:00,344.1,345.22,344.06,345.07
2024-01-02 23:45:00,345.09,345.89,344.94,345.68
2024-01-03 00:00:00,345.81,346.82,345.24,345.29
2024-01-03 00:15:00,345.26,345.58,344.93,345.25
2024-01-03 00:30:00,345.27,345.86,344.76,345.66
2024-01-03 00:45:00,345.65,345.67,343.53,343.53
2024-01-03 01:00:00,343.57,344.51,343.0,344.32
2024-01-03 01:15:00,344.26,344.47,343.82,344.18
2024-01-03 01:30:00,344.19,344.43,343.58,343.98
2024-01-03 01:45:00,344.0,344.33,343.07,343.14
2024-01-03 02:00:00,343.14,343.35,342.38,343.2
2024-01-03 02:15:00,343.09,344.27,342.95,344.25
2024-01-03 02:30:00,344.2,344.35,343.64,344.3
2024-01-03 02:45:00,344.29,344.36,343.07,343.07
2024-01-03 03:00:00,343.21,343.43,342.28,343.3
2024-01-03 03:15:00,343.3,344.63,343.3,344.55
2024-01-03 03:30:00,344.54,344.54,343.34,344.08
2024-01-03 03:45:00,344.09,346.51,344.02,346.35
2024-01-03 21:30:00,344.89,347.53,343.17,347.22
2024-01-03 21:45:00,347.21,347.96,345.09,345.84
2024-01-03 22:00:00,345.71,346.6,343.92,344.14
2024-01-03 22:15:00,344.07,345.34,343.73,345.05
2024-01-03 22:30:00,345.02,346.28,344.43,345.8
2024-01-03 22:45:00,345.87,346.78,345.51,346.42
2024-01-03 23:00:00,346.47,346.85,345.71,345.96
2024-01-03 23:15:00,345.84,346.42,345.48,345.7
2024-01-03 23:30:00,345.66,346.22,344.99,345.37
2024-01-03 23:45:00,345.375,345.45,344.33,344.4
2024-01-04 00:00:00,344.38,344.7,343.98,344.24
2024-01-04 00:15:00,344.21,345.25,343.88,345.22
2024-01-04 00:30:00,345.18,345.32,344.32,344.47
2024-01-04 00:45:00,344.5,344.97,344.2,344.85
2024-01-04 01:00:00,344.88,345.31,344.68,344.87
