Date,Open,High,Low,Close
2022-01-03 21:30:00,338.3,340.84,337.2,340.03
2022-01-03 22:15:00,339.84,341.04,339.18,339.6
2022-01-03 23:00:00,339.66,339.93,337.7,338.32
2022-01-03 23:45:00,338.3,339.04,337.81,338.25
2022-01-04 00:30:00,338.26,339.9,337.98,339.13
2022-01-04 01:15:00,339.16,339.3,338.66,339.09
2022-01-04 02:00:00,339.08,339.28,338.56,339.16
2022-01-04 02:45:00,339.15,340.2,338.84,339.97
2022-01-04 03:30:00,340.0,340.08,338.2,338.35
2022-01-04 21:30:00,339.67,343.03,337.76,338.26
2022-01-04 22:15:00,338.19,340.11,333.43,335.08
2022-01-04 23:00:00,334.71,335.42,331.98,335.3
2022-01-04 23:45:00,335.21,335.73,333.42,334.44
2022-01-05 00:30:00,334.17,335.72,334.07,334.99
2022-01-05 01:15:00,335.08,335.54,334.11,334.18
2022-01-05 02:00:00,334.22,335.79,334.17,335.79
2022-01-05 02:45:00,335.84,337.88,335.13,337.79
2022-01-05 03:30:00,337.8,338.62,336.5,336.5
2022-01-05 21:30:00,333.37,335.68,332.09,333.77
2022-01-05 22:15:00,333.64,333.77,330.57,331.87
2022-01-05 23:00:00,331.9,334.52,331.56,332.21
2022-01-05 23:45:00,332.56,332.88,331.3,332.26
2022-01-06 00:30:00,332.04,332.04,328.55,328.73
2022-01-06 01:15:00,328.88,330.53,328.83,330.09
2022-01-06 02:00:00,330.04,331.86,326.56,326.59
2022-01-06 02:45:00,326.55,328.47,324.9,327.57
2022-01-06 03:30:00,327.48,328.67,323.84,323.96
2022-01-06 21:30:00,322.73,331.0,322.73,328.65
2022-01-06 22:15:00,328.42,336.81,328.22,336.09
2022-01-06 23:00:00,336.115,339.13,335.92,337.98
2022-01-06 23:45:00,337.82,338.87,337.3,338.05
2022-01-07 00:30:00,338.045,338.66,335.66,335.695
2022-01-07 01:15:00,335.66,335.73,333.53,335.06
2022-01-07 02:00:00,334.96,335.16,332.76,333.0
2022-01-07 02:45:00,332.97,334.9,332.94,333.77
2022-01-07 03:30:00,333.57,334.11,331.55,332.56
2022-01-07 21:30:00,332.87,336.94,330.88,334.28
2022-01-07 22:15:00,333.88,333.88,328.94,329.87
2022-01-07 23:00:00,329.81,332.97,329.65,332.54
2022-01-07 23:45:00,332.64,333.92,332.36,332.73
2022-01-08 00:30:00,332.76,334.59,332.21,334.32
2022-01-08 01:15:00,334.17,334.67,332.7,333.02
2022-01-08 02:00:00,332.96,333.19,332.12,333.03
2022-01-08 02:45:00,333.04,334.13,332.54,332.93
2022-01-08 03:30:00,332.9,333.68,331.65,331.67
2022-01-10 21:30:00,325.31,326.12,318.25,318.56
2022-01-10 22:15:00,318.41,319.41,315.53,316.94
2022-01-10 23:00:00,316.8,320.58,316.31,319.78
2022-01-10 23:45:00,319.79,321.66,318.96,319.48
2022-01-11 00:30:00,319.54,322.72,318.8,322.66
2022-01-11 01:15:00,322.76,324.88,322.4,324.47
2022-01-11 02:00:00,324.45,327.72,324.21,326.59
2022-01-11 02:45:00,326.53,327.04,325.18,326.77
2022-01-11 03:30:00,326.72,328.3,325.92,328.07
2022-01-11 21:30:00,327.13,330.37,326.41,328.91
2022-01-11 22:15:00,328.97,329.2,325.54,326.8
2022-01-11 23:00:00,327.09,332.895,326.89,332.47
2022-01-11 23:45:00,332.44,333.45,331.13,331.22
2022-01-12 00:30:00,331.21,332.58,330.53,331.79
2022-01-12 01:15:00,331.67,332.71,331.67,332.29
2022-01-12 02:00:00,332.51,333.25,331.98,333.19
2022-01-12 02:45:00,333.285,334.63,331.56,334.25
2022-01-12 03:30:00,334.19,334.59,333.2,334.59
2022-01-12 21:30:00,335.31,336.35,332.42,335.66
2022-01-12 22:15:00,335.52,335.52,331.21,331.57
2022-01-12 23:00:00,331.8,333.15,330.09,332.44
2022-01-12 23:45:00,332.59,333.42,331.97,333.31
2022-01-13 00:30:00,333.26,334.33,333.0,333.24
2022-01-13 01:15:00,333.16,333.83,332.8,332.97
2022-01-13 02:00:00,332.75,333.3,332.22,332.22
2022-01-13 02:45:00,332.37,333.02,331.64,331.95
2022-01-13 03:30:00,331.92,333.24,331.37,333.14
2022-01-13 21:30:00,334.91,335.51,332.69,332.69
2022-01-13 22:15:00,332.81,332.87,329.01,330.41
2022-01-13 23:00:00,330.23,332.0,329.85,331.69
2022-01-13 23:45:00,331.7,331.95,328.2,328.9
2022-01-14 00:30:00,328.46,329.56,327.5,328.79
2022-01-14 01:15:00,329.05,330.02,328.69,329.2
2022-01-14 02:00:00,329.17,330.38,328.74,329.31
2022-01-14 02:45:00,329.325,330.3,327.77,328.72
2022-01-14 03:30:00,328.62,328.86,325.785,326.65
2022-01-14 21:30:00,321.94,330.525,321.67,329.59
2022-01-14 22:15:00,329.96,332.13,329.0,330.0
2022-01-14 23:00:00,330.2,331.66,328.51,331.14
2022-01-14 23:45:00,331.27,331.87,329.81,330.7
2022-01-15 00:30:00,330.77,331.09,329.09,330.09
2022-01-15 01:15:00,330.05,332.19,328.66,331.92
2022-01-15 02:00:00,332.0,332.67,328.18,330.43
2022-01-15 02:45:00,330.32,331.85,329.8,331.08
2022-01-15 03:30:00,331.19,332.08,330.92,331.87
2022-01-18 21:30:00,323.29,324.07,318.435,322.27
2022-01-18 22:15:00,322.4,323.03,319.0,319.49
2022-01-18 23:00:00,319.37,321.75,318.45,320.69
2022-01-18 23:45:00,321.04,322.08,319.81,319.98
2022-01-19 00:30:00,319.84,320.28,319.1,320.19
2022-01-19 01:15:00,320.01,320.78,319.66,320.49
2022-01-19 02:00:00,320.74,321.35,319.47,321.1
2022-01-19 02:45:00,321.05,321.9,319.1,319.92
2022-01-19 03:30:00,319.92,320.4,317.71,318.3
2022-01-19 21:30:00,319.88,323.56,319.875,322.4
2022-01-19 22:15:00,322.34,322.87,319.44,319.88
2022-01-19 23:00:00,320.15,323.39,319.94,322.39
2022-01-19 23:45:00,322.4,325.31,322.4,324.9
2022-01-20 00:30:00,325.0,325.99,324.26,325.39
2022-01-20 01:15:00,325.49,327.07,324.95,325.26
2022-01-20 02:00:00,325.19,325.52,322.5,323.6
2022-01-20 02:45:00,323.57,324.05,321.8,321.92
2022-01-20 03:30:00,321.91,322.63,319.33,319.61
2022-01-20 21:30:00,323.9,327.59,322.73,326.58
2022-01-20 22:15:00,326.65,327.8,325.53,326.58
2022-01-20 23:00:00,326.67,327.16,323.64,323.64
2022-01-20 23:45:00,323.63,324.99,323.5,324.57
