Date,Open,High,Low,Close
2022-01-03 21:30:00,4778.9,4795.86,4758.17,4779.98
2022-01-03 22:15:00,4779.92,4785.73,4774.86,4779.84
2022-01-03 23:00:00,4779.87,4780.7,4763.23,4771.48
2022-01-03 23:45:00,4771.38,4779.06,4769.17,4778.06
2022-01-04 00:30:00,4778.06,4779.11,4772.5,4777.85
2022-01-04 01:15:00,4777.84,4786.13,4777.14,4786.04
2022-01-04 02:00:00,4786.04,4794.73,4784.81,4794.43
2022-01-04 02:45:00,4794.42,4795.21,4788.9,4792.41
2022-01-04 03:30:00,4792.45,4796.64,4785.16,4796.57
2022-01-04 21:30:00,4804.51,4818.62,4804.51,4809.54
2022-01-04 22:15:00,4809.6,4815.23,4793.03,4793.64
2022-01-04 23:00:00,4793.61,4794.01,4782.62,4793.36
2022-01-04 23:45:00,4793.23,4797.63,4789.05,4793.52
2022-01-05 00:30:00,4793.51,4794.18,4784.45,4787.1
2022-01-05 01:15:00,4787.08,4788.93,4774.27,4774.98
2022-01-05 02:00:00,4774.97,4790.89,4774.78,4790.78
2022-01-05 02:45:00,4790.81,4800.85,4789.76,4800.41
2022-01-05 03:30:00,4800.42,4807.63,4793.33,4793.53
2022-01-05 21:30:00,4787.99,4793.05,4778.42,4787.34
2022-01-05 22:15:00,4787.63,4797.7,4787.17,4790.22
2022-01-05 23:00:00,4790.65,4791.45,4781.38,4781.95
2022-01-05 23:45:00,4781.99,4789.89,4780.68,4789.03
2022-01-06 00:30:00,4789.0,4789.01,4770.79,4772.98
2022-01-06 01:15:00,4773.02,4778.46,4773.02,4775.86
2022-01-06 02:00:00,4775.79,4786.08,4731.08,4731.21
2022-01-06 02:45:00,4731.22,4739.47,4717.15,4720.94
2022-01-06 03:30:00,4719.14,4728.89,4699.44,4700.59
2022-01-06 21:30:00,4693.39,4720.74,4671.26,4680.72
2022-01-06 22:15:00,4680.68,4713.65,4680.54,4704.37
2022-01-06 23:00:00,4704.56,4716.33,4698.13,4702.12
2022-01-06 23:45:00,4702.05,4714.24,4699.51,4713.62
2022-01-07 00:30:00,4713.37,4725.01,4710.55,4715.52
2022-01-07 01:15:00,4715.53,4715.53,4701.76,4708.21
2022-01-07 02:00:00,4708.21,4712.61,4700.66,4706.86
2022-01-07 02:45:00,4707.0,4718.64,4701.1,4707.05
2022-01-07 03:30:00,4706.95,4708.2,4688.4,4696.04
2022-01-07 21:30:00,4695.1,4707.95,4684.2,4693.78
2022-01-07 22:15:00,4693.73,4693.73,4662.74,4669.34
2022-01-07 23:00:00,4668.84,4684.09,4663.01,4682.01
2022-01-07 23:45:00,4681.86,4697.09,4681.12,4686.95
2022-01-08 00:30:00,4687.0,4691.41,4681.29,4690.93
2022-01-08 01:15:00,4690.9,4692.27,4682.25,4685.19
2022-01-08 02:00:00,4685.34,4689.96,4677.37,4688.15
2022-01-08 02:45:00,4688.38,4695.71,4682.99,4685.35
2022-01-08 03:30:00,4685.62,4690.52,4675.99,4677.04
2022-01-10 21:30:00,4655.34,4655.34,4592.35,4592.58
2022-01-10 22:15:00,4592.54,4602.42,4582.24,4593.17
2022-01-10 23:00:00,4592.39,4617.74,4586.9,4603.71
2022-01-10 23:45:00,4603.71,4610.79,4596.93,4599.38
2022-01-11 00:30:00,4599.28,4616.89,4595.66,4616.47
2022-01-11 01:15:00,4616.89,4637.76,4614.97,4635.07
2022-01-11 02:00:00,4635.29,4654.48,4633.63,4646.47
2022-01-11 02:45:00,4646.51,4650.66,4632.94,4643.5
2022-01-11 03:30:00,4643.51,4673.02,4639.08,4670.28
2022-01-11 21:30:00,4669.14,4670.86,4638.27,4657.06
2022-01-11 22:15:00,4657.37,4664.95,4640.46,4650.53
2022-01-11 23:00:00,4650.48,4696.72,4650.17,4693.04
2022-01-11 23:45:00,4693.24,4695.83,4683.22,4684.29
2022-01-12 00:30:00,4684.42,4694.55,4683.36,4692.43
2022-01-12 01:15:00,4692.41,4701.87,4692.05,4701.12
2022-01-12 02:00:00,4701.11,4703.45,4694.15,4703.38
2022-01-12 02:45:00,4703.45,4712.28,4703.22,4710.76
2022-01-12 03:30:00,4710.77,4714.13,4702.29,4713.08
2022-01-12 21:30:00,4733.06,4748.83,4725.54,4747.53
2022-01-12 22:15:00,4747.5,4747.71,4717.66,4723.29
2022-01-12 23:00:00,4723.45,4731.04,4706.71,4725.24
2022-01-12 23:45:00,4725.42,4728.71,4719.29,4725.9
2022-01-13 00:30:00,4726.2,4734.53,4725.73,4727.69
2022-01-13 01:15:00,4727.65,4728.36,4718.91,4720.09
2022-01-13 02:00:00,4720.12,4727.69,4714.8,4720.49
2022-01-13 02:45:00,4720.59,4727.32,4718.31,4721.92
2022-01-13 03:30:00,4721.85,4732.42,4718.39,4726.36
2022-01-13 21:30:00,4733.56,4744.13,4727.37,4727.99
2022-01-13 22:15:00,4727.96,4729.38,4708.16,4715.28
2022-01-13 23:00:00,4715.23,4728.92,4710.67,4727.39
2022-01-13 23:45:00,4727.42,4728.1,4688.47,4693.11
2022-01-14 00:30:00,4693.14,4700.34,4685.18,4695.78
2022-01-14 01:15:00,4695.86,4703.6,4694.09,4702.01
2022-01-14 02:00:00,4701.95,4707.23,4684.01,4687.58
2022-01-14 02:45:00,4687.63,4690.81,4671.42,4677.61
2022-01-14 03:30:00,4677.8,4680.7,4650.29,4659.02
2022-01-14 21:30:00,4629.26,4661.16,4623.12,4649.49
2022-01-14 22:15:00,4650.06,4663.29,4634.66,4641.14
2022-01-14 23:00:00,4641.12,4648.62,4622.81,4641.67
2022-01-14 23:45:00,4641.89,4648.84,4633.74,4638.97
2022-01-15 00:30:00,4638.78,4643.85,4618.01,4624.15
2022-01-15 01:15:00,4624.15,4636.29,4614.75,4635.15
2022-01-15 02:00:00,4635.1,4645.83,4630.7,4637.25
2022-01-15 02:45:00,4637.32,4657.3,4636.92,4652.02
2022-01-15 03:30:00,4652.22,4665.13,4652.22,4662.84
2022-01-18 21:30:00,4618.15,4618.15,4587.82,4600.01
2022-01-18 22:15:00,4600.06,4606.87,4588.43,4590.96
2022-01-18 23:00:00,4590.88,4595.97,4581.5,4593.5
2022-01-18 23:45:00,4593.58,4601.72,4581.51,4583.53
2022-01-19 00:30:00,4583.52,4584.72,4569.82,4579.21
2022-01-19 01:15:00,4579.22,4587.81,4571.92,4586.51
2022-01-19 02:00:00,4586.61,4596.77,4582.93,4593.15
2022-01-19 02:45:00,4593.13,4603.65,4579.94,4585.43
2022-01-19 03:30:00,4585.58,4587.06,4568.7,4577.1
2022-01-19 21:30:00,4593.06,4611.55,4593.06,4599.08
2022-01-19 22:15:00,4599.13,4600.1,4570.3,4577.91
2022-01-19 23:00:00,4577.92,4580.35,4562.1,4568.46
2022-01-19 23:45:00,4568.43,4596.76,4567.36,4596.2
2022-01-20 00:30:00,4596.1,4597.38,4586.37,4595.04
2022-01-20 01:15:00,4595.1,4596.09,4576.77,4579.78
2022-01-20 02:00:00,4579.77,4581.54,4558.39,4570.56
2022-01-20 02:45:00,4570.67,4576.09,4560.22,4560.86
2022-01-20 03:30:00,4560.79,4561.28,4530.2,4532.77
2022-01-20 21:30:00,4551.56,4584.04,4549.7,4577.71
2022-01-20 22:15:00,4577.94,4598.5,4570.85,4595.9
2022-01-20 23:00:00,4595.9,4602.11,4584.97,4585.34
2022-01-20 23:45:00,4585.4,4593.69,4583.09,4589.45
2022-01-21 00:30:00,4589.56,4592.87,4570.92,4575.28
2022-01-21 01:15:00,4575.29,4575.73,4567.35,4567.9
2022-01-21 02:00:00,4567.94,4579.95,4548.52,4549.41
2022-01-21 02:45:00,4549.35,4553.28,4517.93,4521.75
2022-01-21 03:30:00,4521.76,4522.31,4477.95,4482.74
2022-01-21 21:30:00,4469.54,4479.59,4431.29,4434.09
2022-01-21 22:15:00,4433.56,4485.38,4420.39,4475.07
2022-01-21 23:00:00,4476.15,4494.52,4463.42,4466.43
2022-01-21 23:45:00,4466.51,4467.56,4443.85,4450.13
2022-01-22 00:30:00,4450.07,4456.96,4436.2,4454.38
2022-01-22 01:15:00,4454.38,4454.38,4430.21,4436.23
